stk,yr,cyc,rec2,rec3,rec4,rec5,rec,eff,juv
Seymour,1957,1,0,0.000262,0.011959,0,0.012221,0.007106,NA
Seymour,1958,2,0,0.006184,0.188824,0.00051,0.195518,0.044285,NA
Seymour,1959,3,0,0.000409,0.175192,0.000368,0.175969,0.025473,NA
Seymour,1960,4,0,0.000051,0.008697,0,0.008748,0.001862,NA
Seymour,1961,1,0,0.000055,0.025649,0,0.025704,0.001957,NA
Seymour,1962,2,0,0.002939,0.169778,0.000572,0.173289,0.027411,NA
Seymour,1963,3,0,0.000147,0.112265,0.001674,0.114086,0.026742,NA
Seymour,1964,4,0,0,0.017994,0.000504,0.018498,0.001321,NA
Seymour,1965,1,0,0.000183,0.034707,0,0.03489,0.00255,NA
Seymour,1966,2,0,0.000658,0.139745,0.001425,0.141828,0.012943,NA
Seymour,1967,3,0,0.000066,0.216733,0.002954,0.219753,0.007264,NA
Seymour,1968,4,0,0,0.021963,0.000145,0.022108,0.002064,NA
Seymour,1969,1,0,0.000258,0.014617,0,0.014875,0.003276,NA
Seymour,1970,2,0,0.00047,0.223705,0,0.224175,0.003603,NA
Seymour,1971,3,0,0.001341,0.132035,0.001934,0.13531,0.009463,NA
Seymour,1972,4,0,0.00032,0.056465,0,0.056785,0.001418,NA
Seymour,1973,1,0,0.000419,0.024381,0,0.0248,0.00115,NA
Seymour,1974,2,0,0.001353,0.247377,0,0.24873,0.025096,NA
Seymour,1975,3,0,0.001665,0.175012,0.004007,0.180684,0.015756,NA
Seymour,1976,4,0,0.000038,0.018193,0.000191,0.018422,0.004898,NA
Seymour,1977,1,0,0.000135,0.053835,0.001444,0.055414,0.002883,NA
Seymour,1978,2,0,0.00073,0.256211,0.004984,0.261925,0.030757,NA
Seymour,1979,3,0,0.000085,0.092992,0.042223,0.1353,0.024866,NA
Seymour,1980,4,0,0.00001,0.045127,0.007711,0.052848,0.004616,NA
Seymour,1981,1,0,0,0.026268,0,0.026268,0.005354,NA
Seymour,1982,2,0,0.002737,0.492244,0.013474,0.508455,0.027219,NA
